algo,max_depth,nb_tree,data,error_rate(perc),time(s)
ser,3,10,letter,25.91,0
strut,3,10,letter,25.91,11
source_only,3,10,letter,91.72,
target_only,3,10,letter,30.62,
ser,3,50,letter,25.76,1
strut,3,50,letter,87.7,54
source_only,3,50,letter,93.22,
target_only,3,50,letter,23.34,
ser,5,50,letter,21.49,3
strut,5,50,letter,81.04,90
source_only,5,50,letter,82.79,
target_only,5,50,letter,21.35,
ser,7,50,letter,20.85,15
strut,7,50,letter,71.15,128
source_only,7,50,letter,77.85,
target_only,7,50,letter,22.59,
ser,9,50,letter,20.77,58
strut,9,50,letter,68.5,157
source_only,9,50,letter,71.28,
target_only,9,50,letter,22.17,
ser,11,50,letter,21.7,164
strut,11,50,letter,56.09,190
source_only,11,50,letter,69.01,
target_only,11,50,letter,21.22,
ser,13,50,letter,20.74,398
strut,13,50,letter,54.49,223
source_only,13,50,letter,67.17,
target_only,13,50,letter,20.78,
ser,15,50,letter,20.87,670
strut,15,50,letter,42.71,251
source_only,15,50,letter,65.42,
target_only,15,50,letter,20.63,
ser,5,10,letter,25.67,0
strut,5,10,letter,87.41,17
source_only,5,10,letter,83.66,
target_only,5,10,letter,27.64,
ser,None,50,letter,23.3,1609
strut,None,50,letter,31.88,285
source_only,None,50,letter,65.15,
target_only,None,50,letter,22.37,
ser,None,50,letter,22.78,1708
strut,None,50,letter,33.78,297
source_only,None,50,letter,65.86,
target_only,None,50,letter,21.9,
strut,,50,letter,32.4,313
source_only,,50,letter,64.7,
target_only,,50,letter,21.15,
