algo,max_depth,nb_tree,data,error_rate(perc),time(s)
source,2,1,wine,48.45,0
target,2,1,wine,54.71,0
ser,2,1,wine,51.22,0
strut,2,1,wine,57.6,0
strut2,2,1,wine,57.67,0
mix,2,1,wine,62.41,0
source,2,1,wine,44.17,0
target,2,1,wine,54.77,0
ser,2,1,wine,50.95,0
strut,2,1,wine,56.16,0
strut2,2,1,wine,56.16,0
mix,2,1,wine,61.55,0
source,2,1,wine,54.9,0
target,2,1,wine,57.54,0
ser,2,1,wine,57.47,0
strut,2,1,wine,58.26,0
strut2,2,1,wine,58.26,0
mix,2,1,wine,57.41,0
source,5,1,wine,66.1,0
target,5,1,wine,51.94,0
ser,5,1,wine,56.02,0
strut,5,1,wine,55.37,0
strut2,5,1,wine,56.29,0
mix,5,1,wine,59.25,0
source,5,1,wine,57.14,0
target,5,1,wine,47.99,0
ser,5,1,wine,54.51,0
strut,5,1,wine,49.9,0
strut2,5,1,wine,50.23,0
mix,5,1,wine,59.38,0
source,5,1,wine,55.83,0
target,5,1,wine,55.76,0
ser,5,1,wine,49.44,0
strut,5,1,wine,50.43,0
strut2,5,1,wine,50.56,0
mix,5,1,wine,59.32,0
source,10,1,wine,74.92,0
target,10,1,wine,51.61,0
ser,10,1,wine,52.07,2
strut,10,1,wine,53.72,0
strut2,10,1,wine,60.3,0
mix,10,1,wine,60.5,0
source,10,1,wine,58.26,0
target,10,1,wine,60.24,0
ser,10,1,wine,50.95,1
strut,10,1,wine,53.39,0
strut2,10,1,wine,53.92,0
mix,10,1,wine,65.83,0
source,10,1,wine,65.11,0
target,10,1,wine,49.97,0
ser,10,1,wine,55.3,3
strut,10,1,wine,55.37,0
strut2,10,1,wine,58.85,0
mix,10,1,wine,60.63,0
source,15,1,wine,64.25,0
target,15,1,wine,52.86,0
ser,15,1,wine,58.06,26
strut,15,1,wine,54.25,0
strut2,15,1,wine,56.09,0
mix,15,1,wine,58.53,0
source,15,1,wine,62.67,0
target,15,1,wine,56.48,0
ser,15,1,wine,55.63,24
strut,15,1,wine,56.55,0
strut2,15,1,wine,63.53,0
mix,15,1,wine,62.21,0
source,15,1,wine,69.06,0
target,15,1,wine,54.18,0
ser,15,1,wine,55.1,28
strut,15,1,wine,56.75,0
strut2,15,1,wine,65.57,0
mix,15,1,wine,60.24,0
source,None,1,wine,70.84,0
target,None,1,wine,47.53,0
ser,None,1,wine,50.69,55
strut,None,1,wine,58.53,0
strut2,None,1,wine,68.33,0
mix,None,1,wine,59.97,0
source,None,1,wine,73.27,0
target,None,1,wine,54.51,0
ser,None,1,wine,50.36,54
strut,None,1,wine,63.2,0
strut2,None,1,wine,62.15,0
mix,None,1,wine,62.61,0
source,None,1,wine,70.24,0
target,None,1,wine,61.88,0
ser,None,1,wine,56.55,58
strut,None,1,wine,55.5,0
strut2,None,1,wine,64.58,0
mix,None,1,wine,62.8,0
source,2,10,wine,44.96,0
target,2,10,wine,45.49,0
ser,2,10,wine,46.21,0
strut,2,10,wine,47.27,0
strut2,2,10,wine,47.2,0
mix,2,10,wine,54.51,0
source,2,10,wine,47.79,0
target,2,10,wine,45.03,0
ser,2,10,wine,48.26,0
strut,2,10,wine,47.53,0
strut2,2,10,wine,47.4,0
mix,2,10,wine,53.19,0
source,2,10,wine,44.04,0
target,2,10,wine,46.68,0
ser,2,10,wine,48.32,0
strut,2,10,wine,47.86,0
strut2,2,10,wine,48.39,0
mix,2,10,wine,53.85,0
source,5,10,wine,49.05,0
target,5,10,wine,47.4,0
ser,5,10,wine,46.21,0
strut,5,10,wine,44.7,1
strut2,5,10,wine,44.04,1
mix,5,10,wine,50.16,0
source,5,10,wine,52.8,0
target,5,10,wine,46.41,0
ser,5,10,wine,47.33,0
strut,5,10,wine,47.0,1
strut2,5,10,wine,46.87,1
mix,5,10,wine,51.74,0
source,5,10,wine,47.2,0
target,5,10,wine,49.51,0
ser,5,10,wine,46.08,0
strut,5,10,wine,47.6,1
strut2,5,10,wine,47.73,1
mix,5,10,wine,53.26,0
source,10,10,wine,60.04,0
target,10,10,wine,48.85,0
ser,10,10,wine,46.68,25
strut,10,10,wine,46.74,2
strut2,10,10,wine,50.56,3
mix,10,10,wine,51.09,0
source,10,10,wine,55.96,0
target,10,10,wine,47.07,0
ser,10,10,wine,46.02,29
strut,10,10,wine,45.49,2
strut2,10,10,wine,47.14,2
mix,10,10,wine,52.07,0
source,10,10,wine,65.64,0
target,10,10,wine,46.81,0
ser,10,10,wine,46.74,29
strut,10,10,wine,47.79,2
strut2,10,10,wine,49.05,2
mix,10,10,wine,50.69,0
source,15,10,wine,65.37,0
target,15,10,wine,46.15,0
ser,15,10,wine,46.15,256
strut,15,10,wine,50.82,3
strut2,15,10,wine,49.97,3
mix,15,10,wine,54.84,0
source,15,10,wine,65.7,0
target,15,10,wine,48.26,0
ser,15,10,wine,45.75,275
strut,15,10,wine,45.95,3
strut2,15,10,wine,47.14,3
